class,f1_score,precision,recall,support
 bossa_nova,0.8, 0.81,0.79,199.0
,0.8, funk,0.87,0.83
     gospel,0.9, 0.85,0.95,188.0
  sertanejo,0.75, 0.76,0.75,220.0
